年度,國民所得毛額(GNI_億元),國內生產毛額(GDP_億元),中央政府總預算額(億元),體育運動組織預算(中央_億元),體育運動組織預算(地方_億元),占GNI比例(%),占GDP比例(%),占中央政府總預算比例(%)
90,"103,086","101,194","16,082",35.23,45.46,0.08%,0.08%,0.50%
91,"108,670","106,309","15,993",33.25,54.02,0.08%,0.08%,0.55%
92,"112,462","109,240","15,724",32.6,51.71,0.08%,0.08%,0.54%
93,"119,596","115,962","16,113",34.36,52.59,0.07%,0.08%,0.54%
94,"123,218","120,367","16,356",30.93,71.02,0.08%,0.08%,0.62%
95,"128,785","125,726","15,996",52.98,50.97,0.08%,0.08%,0.65%
96,"136,894","133,639","16,638",54.12,46.11,0.07%,0.08%,0.60%
97,"134,209","131,151","16,995",65.7,80.87,0.11%,0.11%,0.86%
98,"133,218","129,194","18,300",78.73,79.45,0.12%,0.12%,0.86%
99,"144,760","140,603","17,350",52.78,66.55,0.08%,0.08%,0.69%
100,"146,343","142,622","17,896",45.9,70.25,0.08%,0.08%,0.65%
101,"151,100","146,778","19,390",52.26,68.02,0.08%,0.08%,0.62%
102,"156,732","152,707","19,446",70.02,95.59,0.11%,0.11%,0.85%
103,"166,972","162,580","19,407",76.28,121.33,0.12%,0.12%,1.02%
104,"174,947","170,551","19,597",97.33,133.74,0.13%,0.14%,1.18%
105,"180,064","175,553","19,982",96.7,132.87,0.13%,0.13%,1.15%
106,"184,307","179,833","19,980",111.94,170.27,0.15%,0.16%,1.41%
107,"187,577","183,429","19,918",120.7,105.3,0.12%,0.12%,1.13%
108,"193,394","188,869","20,220",131.95,113.85,0.13%,0.13%,1.22%
